Age group?,Gender?,Occupation,Monthly household income?,How comfortable are you in adopting new technologies?,"How do you typically plan your day for activities like commuting, vehicle charging, and other tasks?",How far do you typically travel in a single trip on your bike?,How do you primarily envision using a bike in your daily life?,What type of vehicle do you currently own or primarily use?,How Satisfied are you with your current vehicle's performance?,What do you like most about your current vehicle? (Select up to 3),How often do you use your vehicle?,"On average, how much do you spend on fuel/charging per month?",How much do you spend on maintenance/repairs for your vehicle annually?,Would you consider replacing your current vehicle in the next 1-2 years?,"If yes, what factors would influence your decision to replace your vehicle? (Select all that apply)",How familiar are you with EV bikes? ,Have you ever considered purchasing or using an EV bike?,Where do you primarily get your information about EV bikes? (Select all that apply),Which of the following best describes your experience with electric bikes?,"If you have an Electric Bike, what brand and model of bike do you own? (Optional)",How important are following features in an EV bike to you? [Battery life/range],How important are following features in an EV bike to you? [Charging time],"How important are following features in an EV bike to you? [Safety features (e.g., ABS, traction control)]",How important are following features in an EV bike to you? [Price],How important are following features in an EV bike to you? [Design and aesthetics],"How important are following features in an EV bike to you? [Connectivity features (e.g., smart dashboard, app integration)]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Long range and fewer charges]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Durability]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Smooth and quiet ride]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [High performance (e.g., speed, acceleration)]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Comfort]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Maintenance cost]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Brand]",What are two words that comes to mind when you think of EV bikes in general?,What are two words that comes to mind when you think of HONDA in general?,What are two words that comes to mind when you think of Yamaha in general?,What is two word that comes to mind when you think of Suzuki in general?
1,1,1,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,1,Fuel efficiency;Maintenance cost;Comfort and design,1,2,1,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",1,2,Social media,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,No fuel ,Comfort ,Comfort ,Moderate 
1,0,1,3,5,2,3,Commuting to work or school;Leisure and entertainment;Running errands around town;Long-distance travel,2,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;After Sale Service;Resale Value",1,1,1,1,Better performance,1,3,Online news articles;Social media;Friends/Family;Auto or bike dealerships,3,,5,5,1,5,5,5,5,5,5,5,5,5,5,Kaam chalao,"Civic, Sexy","Sports, R3","GS150, Sleek"
2,0,2,4,5,3,1,Leisure and entertainment,1,2,Maintenance cost;Comfort and design;Reliability,1,3,2,1,Lower running costs;Better performance;Newer technology,1,1,Social media,1,,5,5,3,4,3,2,5,4,4,3,5,4,2,Environment Friendly ,"Design, Power ","Sporty, Reliable ",Old school
2,1,3,5,5,2,3,Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Comfort and design;Reliability;Brand reputation",1,4,3,3,Brand reputation,1,5,Friends/Family,1,,5,5,3,2,5,3,2,3,5,5,5,5,5,Comfortably smooth,Monopolistic ,Good bikes,Bad designer 
2,1,3,3,5,2,3,Long-distance travel,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Comfort and design;Reliability",1,2,2,3,Test Drive,2,2,Social media,1,,2,4,4,4,4,5,2,5,5,4,4,5,1,Easy to drive ,Long-term Investment ,Question on its reliability ,Best seller 
1,0,1,5,4,4,1,Running errands around town,1,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Environmental impact;Resale Value",1,2,1,1,Lower running costs;Better performance;Environmental benefits,2,3,Social media;Friends/Family,1,,5,4,4,5,3,2,5,5,3,5,4,3,3,Fuel saving,cd70,YBR,GS150
2,1,1,5,5,2,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town,1,2,"Performance (acceleration, handling, etc.);Comfort and design;Reliability;Resale Value",4,2,1,3,Lower running costs;Newer technology,2,2,Social media;Friends/Family,1,,5,5,5,5,4,4,5,5,4,4,5,4,3,"Environment, Expensive","Known, Versatile","Bikes, Known","Reliable, Old School"
2,0,1,5,5,3,1,Running errands around town,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Resale Value",1,5,1,1,Lower running costs;Environmental benefits,1,1,Online news articles;Social media,1,,5,5,5,5,5,5,3,3,3,3,3,3,3,"Fad, useless","Reliable, civic","Bike, japan",Low quality 
2,0,1,5,5,2,1,Leisure and entertainment,1,1,"Performance (acceleration, handling, etc.);Comfort and design;Reliability;Brand reputation;Resale Value",1,3,4,1,Lower running costs;Better performance;Newer technology;Brand reputation,2,3,Social media;TV/Radio;Friends/Family,3,,5,5,5,5,4,5,5,5,5,5,5,5,5,Evee,Civic and city ,YBR,Hayabusa 
1,1,2,1,4,2,1,Commuting to work or school,4,3,"Performance (acceleration, handling, etc.)",4,1,1,1,Lower running costs;Better performance;Environmental benefits;Newer technology;Brand reputation,1,3,Online news articles;Social media;TV/Radio;Friends/Family,3,,3,3,3,4,4,4,4,4,4,5,5,5,5,environmental friendly ,fuel savings.,cost savings. ,economy
1,0,1,5,4,4,1,Leisure and entertainment,2,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Comfort and design",2,1,1,1,Better performance;Newer technology;design of a sportsbike,2,2,Social media;Friends/Family,1,,5,5,5,5,5,3,5,5,5,5,5,5,5,Microwave. Affordable,Reliability. Fireblade,"Design, Relaibility",ugly but quick
1,1,1,5,3,2,1,Leisure and entertainment,1,1,Fuel efficiency;Comfort and design;Reliability;Environmental impact,4,3,2,1,Lower running costs;Better performance;Newer technology,2,3,Friends/Family,6,,5,5,5,5,5,5,5,5,5,5,5,5,2,electric technology ,good brand,good brand,widespread okay 
1,0,1,3,3,2,1,Commuting to work or school;Leisure and entertainment;Running errands around town,4,2,Maintenance cost;Reliability,2,1,1,2,Lower running costs;Better performance,1,1,Social media;Friends/Family;Auto or bike dealerships,1,,5,5,3,4,2,5,5,5,5,5,5,5,4,Fuel better,Cheap,Decent bikes,Boss mehran
1,0,1,3,4,3,1,Leisure and entertainment,1,3,Comfort and design;Reliability,2,2,2,2,Lower running costs,2,1,Friends/Family,1,,5,3,5,5,2,4,4,4,3,3,5,3,3,Efficient and unreliable ,Cars and dealerships,Never heard of it,Cars and efficient 
2,0,3,3,4,2,1,Commuting to work or school,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability",1,5,1,2,Lower running costs;Better performance;Environmental benefits,3,1,Online news articles;Social media;Friends/Family,6,,4,3,4,3,3,4,4,4,4,3,3,3,4,Eco friendly ,Brand reliable ,Old brand ,Cheap economical 
2,0,3,3,4,2,1,Leisure and entertainment,1,2,Maintenance cost;Reliability;Brand reputation,1,3,1,1,Lower running costs;Better performance;Brand reputation,1,1,Friends/Family,2,,4,4,4,4,3,3,4,4,4,4,5,4,3,less effort,good interior,Old bike,Haysbusa bike
1,1,3,3,4,2,1,Commuting to work or school,1,2,Fuel efficiency,5,2,2,1,Lower running costs;Better performance;Newer technology,2,3,Online news articles;Social media;Friends/Family,1,,4,3,5,4,2,3,4,5,4,4,4,5,3,Cost efficient , Reliable brand ,Japanese based ,Affordable products 
2,0,3,2,5,1,1,Commuting to work or school;Running errands around town,1,2,"Performance (acceleration, handling, etc.);Maintenance cost;Resale Value",1,1,1,1,Lower running costs;Better performance;Environmental benefits;Brand reputation,1,1,Online news articles;Social media;Friends/Family,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,Battery Charging,"Brand, fast","Brand, fast","Pathetic, waste"
2,0,3,3,4,3,1,Leisure and entertainment;Running errands around town,1,2,"Performance (acceleration, handling, etc.);Comfort and design;Reliability;Brand reputation;Resale Value",1,2,2,2,"Lower running costs;Better performance;Incentives (rebates, subsidies, etc.)",2,3,Social media,6,,4,5,5,3,2,2,5,5,3,4,4,5,2,Charging efficiency,Confort ,Efficiency,Affordable
2,0,3,3,5,1,1,Running errands around town,1,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Brand reputation;After Sale Service;Resale Value",1,2,2,1,Lower running costs;Better performance;Environmental benefits;Newer technology,1,4,Online news articles;Social media;Friends/Family,1,,5,5,4,5,5,4,5,5,5,5,5,5,4,"Low power, Low milage","Reliability, Quality Assurance ","High Cost, Reliable Quality ","Very High Cost, Reliability "
2,0,3,3,5,4,1,Commuting to work or school;Leisure and entertainment;Running errands around town,1,2,"Performance (acceleration, handling, etc.);Comfort and design;Brand reputation;Resale Value",2,2,2,1,Better performance;Newer technology;Brand reputation,1,1,Online news articles;Social media,1,,5,5,5,4,3,1,4,4,4,4,4,4,3,Mileage & Environment,Comfort & Premium,Low Price & Reliable,Low Price & Good Mileage
2,0,3,5,4,2,4,Running errands around town,1,2,"Performance (acceleration, handling, etc.);Comfort and design",1,2,1,2,Lower running costs;Newer technology,2,2,Social media,1,,4,4,4,4,3,3,4,4,4,4,4,4,3,"Futuristic, sustainable ","Reliable, stylish ","Japanese, Sleek","Reliable, equitable "
2,1,1,4,5,4,1,Commuting to work or school;Leisure and entertainment,1,1,"Performance (acceleration, handling, etc.)",2,2,1,1,Lower running costs,4,1,Online news articles;Social media,1,,3,3,3,3,1,2,3,3,3,3,3,3,1,Fuel efficient and future ,Bike and Car ,Bike ,Suzuki wagon R 
2,0,1,3,4,2,1,Leisure and entertainment;Family transportation;Running errands around town,1,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Brand reputation",1,2,2,3,Lower running costs;Better performance;Newer technology;Brand reputation,2,3,Online news articles;Social media;Government advertisements/incentives,1,,4,4,4,3,4,3,4,3,4,3,4,3,4,"Electric, Environment","Japanese, Automotive ","Japanese, Automotive","Japanese, Cheaper"
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,1,1,Online news articles;Social media;TV/Radio;Friends/Family,2,,4,2,2,2,2,2,4,3,3,2,2,2,2,eco friendly,budget friendly,speed and durability,affordability
0,0,2,3,5,2,1,Commuting to work or school,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Environmental impact;After Sale Service;Resale Value",1,2,1,3,Newer technology,1,2,Online news articles;Social media;TV/Radio;Friends/Family;Auto or bike dealerships,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,Go green,Reliable & durable ,Tough & Comfortable ,Economy & efficiency 
1,0,3,4,5,2,3,Commuting to work or school,2,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Environmental impact",1,2,1,1,Better performance,2,3,Social media,2,,4,4,4,4,4,4,4,4,4,4,4,4,4,fuel saving ,Great bike ,Smooth ride,excellent mileage 
1,1,1,1,4,3,3,Commuting to work or school;Leisure and entertainment;Family transportation,2,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability",4,2,2,1,"Environmental benefits;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",3,2,Online news articles;Social media;TV/Radio;Friends/Family,3,jaguar ,4,4,4,4,4,4,4,4,3,4,4,4,4,eco friendly.,budget,speed,savings
0,1,1,4,5,1,1,Family transportation,1,2,Fuel efficiency;Maintenance cost;Reliability,4,2,2,3,"Lower running costs;Incentives (rebates, subsidies, etc.)",4,1,Social media,6,,5,5,5,5,4,4,5,5,5,5,5,5,5,Charging battery ,Very good ,Good brand ,Not good
1,1,2,2,4,3,3,Commuting to work or school,1,1,Comfort and design,2,3,3,3,Newer technology,2,2,Social media,6,,5,5,5,4,3,3,5,5,5,5,5,5,3,Sustainability and innovation ,Confidence and performance ,Versatility and innovation ,Affordable and reliable 
1,0,3,3,4,2,4,Commuting to work or school,2,1,Fuel efficiency;Maintenance cost;Reliability,4,1,1,1,Better performance;Newer technology;Brand reputation,3,2,Online news articles;Social media;Friends/Family,1,,5,4,5,5,3,5,5,5,5,5,5,5,5,Quiet and battery low anxiety,Cd70 and cg125,Yd junoon and ybr-125,Gd-110s and gs-150
2,0,3,3,4,2,1,Leisure and entertainment;Running errands around town,1,2,Reliability;Resale Value,2,2,2,3,Brand reputation,1,3,Social media,4,Metro,5,5,4,5,5,4,5,5,5,4,5,5,4,"Scooters, budget","Style, NSX","R1, YBR","Hayabusa, Mehran"
1,0,3,3,4,4,1,Commuting to work or school,2,2,Comfort and design;Reliability;Brand reputation,1,1,1,3,Lower running costs;Better performance;Environmental benefits,3,1,Online news articles,1,,5,5,5,4,4,4,5,4,4,5,4,5,4,Electric Bike,Honda Automobiles,Yamaha Bikes,Suzuki Cars
1,0,1,3,5,4,1,Leisure and entertainment,1,2,"Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design",2,2,3,1,"Lower running costs;Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.);Test Drive",2,1,Friends/Family,1,,4,4,5,4,3,4,4,4,4,5,4,4,5,Best Average ,Good Company ,Best ,Low quality 
1,0,2,5,3,3,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town,2,1,"Performance (acceleration, handling, etc.);Maintenance cost;Reliability;Brand reputation",1,2,2,2,"Better performance;Brand reputation;Incentives (rebates, subsidies, etc.)",2,1,Online news articles,2,,5,5,5,5,5,3,5,5,2,5,5,5,5,,Love It,Great Design,Nahh I will pass
1,0,1,1,2,4,3,Family transportation,2,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Comfort and design",2,1,1,1,Lower running costs;Better performance,3,1,Social media;Friends/Family,1,,5,4,5,4,5,4,4,5,5,3,5,4,4,Without engine ,With engine ,Heavy bike ,Car 
2,0,1,2,5,3,4,Commuting to work or school,2,1,"Performance (acceleration, handling, etc.)",2,1,1,2,Lower running costs,4,1,Friends/Family,6,,5,5,5,5,5,5,5,5,5,5,5,5,5,Without fuel,It's a bad company ,Good company ,Bad company 
2,0,1,3,5,1,1,Commuting to work or school;Running errands around town,1,2,Reliability;Brand reputation;After Sale Service;Resale Value,2,3,3,3,Lower running costs;Better performance;Newer technology;Brand reputation,2,3,Online news articles;University Campaign  ,2,,4,3,4,2,3,4,4,4,4,3,3,3,3,"Efficient, Future ","Realible, Good Aftersale ","Japan, Bikes","Efficient, Durable "
1,1,3,1,4,2,3,Leisure and entertainment;Family transportation;Running errands around town,1,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Environmental impact",4,2,2,1,"Lower running costs;Better performance;Environmental benefits;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",1,3,Social media;TV/Radio;Friends/Family;Auto or bike dealerships,2,,3,3,3,4,4,4,4,4,4,4,4,4,4,eco friendly,budget friendly,cost effective,economy 
1,1,1,1,5,2,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town,,3,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design",5,1,1,2,Lower running costs;Better performance;Environmental benefits;Newer technology,4,3,Online news articles;Friends/Family,1,,5,5,2,5,2,2,4,5,4,5,5,5,5,Jj,Jb,Uu,Hy
1,1,1,5,5,3,1,Commuting to work or school;Leisure and entertainment;Running errands around town,1,2,"Performance (acceleration, handling, etc.);Comfort and design;Resale Value",1,4,4,1,Lower running costs;Better performance;Environmental benefits;Newer technology,2,2,Social media,6,,5,4,5,5,4,5,3,4,5,5,5,5,4,Easy Life,Efficient Everywhere,Okay satisfactory ,Forever Resale
0,0,2,2,2,4,3,Commuting to work or school,2,3,"Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;After Sale Service",1,3,1,1,Better performance,2,3,Friends/Family,2,,3,2,3,3,2,2,2,3,2,3,3,3,1,In one year,On market vslue,No,Yes
1,1,1,3,4,2,1,Commuting to work or school;Leisure and entertainment,1,1,"Performance (acceleration, handling, etc.);Comfort and design",1,1,1,3,Lower running costs;Better performance,3,1,Social media,1,,4,5,4,4,2,3,4,4,3,4,5,4,3,"batteries, chargung","reliable, durable",donÃ¢â‚¬â„¢t know,"price effective, durable"
2,1,1,3,4,3,3,Commuting to work or school,1,1,Comfort and design,1,4,2,2,Better performance,3,1,Social media,1,,4,4,5,5,5,5,5,5,5,5,5,5,4,Drive. ,Cars,Cars,Mehran
2,1,3,3,5,2,1,Commuting to work or school,1,1,"Performance (acceleration, handling, etc.);Resale Value",1,2,2,1,"Lower running costs;Better performance;Environmental benefits;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.);Test Drive",1,2,Online news articles,6,,5,5,5,5,5,4,5,5,5,5,5,5,5,Fuel efficiency. Environmental friendly ,Durability,Durability,Price efficiency 
1,0,3,2,3,2,2,Leisure and entertainment;Family transportation;Running errands around town,3,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design",2,2,3,1,Better performance;Environmental benefits;Newer technology;Brand reputation,2,4,Social media,2,,3,4,4,4,3,3,3,2,3,3,4,5,5,ecofriendly,cost savings,budget friendly,savings
1,1,1,2,4,2,2,Commuting to work or school;Leisure and entertainment;Family transportation,2,2,"Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",2,2,3,1,Lower running costs;Better performance;Environmental benefits;Newer technology;Brand reputation,2,4,Online news articles;Social media;TV/Radio;Friends/Family,1,,4,4,4,4,4,4,4,4,4,4,4,4,4,eco friendly,cost savings,budget friendly,cost friendly
1,1,2,2,4,2,2,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town,2,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability",2,2,2,2,Lower running costs;Better performance;Environmental benefits;Newer technology,2,3,Online news articles;Social media;TV/Radio;Friends/Family,2,,4,4,4,4,4,4,4,4,4,4,4,4,4,eco friendly and cost savings ,cost savings and fuel efficiency ,budget friendly and savings ,cost savings and reduction in expenses
1,1,3,2,4,2,2,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town,3,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability",3,3,3,1,Lower running costs;Better performance;Environmental benefits;Newer technology;Brand reputation,1,3,Online news articles;Social media;TV/Radio;Friends/Family,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,eco friendly and economy,cost savings and budget friendly,budget friendly and fuel efficient ,expenses reduction
2,1,2,3,4,2,2,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town,2,2,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability",2,2,2,1,Lower running costs;Better performance;Environmental benefits;Newer technology;Brand reputation,2,3,Online news articles;Social media;TV/Radio;Friends/Family;Auto or bike dealerships,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,fuel efficiency and cost savings. ,cost savings and budget friendly,fuel efficiency and inexpensive,affordable and cost savings
